FECHA,AÑO,MES,ASESOR,CIUDAD,CLASIFICACION,CATEGORIA,PRODUCTO,CANTIDAD,VALOR_U,VENTA_TOTAL
2016-01-01,2016,01,Ana Maria,Bogotá,Nacionales,Foliares,Fertiverdor,49.0,46001.5757319717,2254077.0
2016-01-01,2016,01,Camila,Medellín,Nacionales,Coadyuvantes,Aquafull,44.0,46493.0837723757,2045696.0
2016-01-01,2016,01,Juliana,Bogotá,Nacionales,Foliares,Desarrollo,23.0,46984.5918127798,1080646.0
2016-01-02,2016,01,Camila,Cali,Importados,Fertirrigación,Calcio,34.0,39082.4037999778,1328802.0
2016-01-03,2016,01,Camila,Barranquilla,Nacionales,Coadyuvantes,Trionex,43.0,64755.0,2784465.0
2016-01-03,2016,01,Juliana,Cali,Nacionales,Edáficos,Zinc,19.0,40065.4198807859,761243.0
2016-01-04,2016,01,Camila,Medellín,Nacionales,Foliares,Fertiverdor,29.0,40184.246000444,1165343.0
2016-01-04,2016,01,Ana Maria,Cartagena,Nacionales,Edáficos,Menores,20.0,39511.4123878344,790228.0
2016-01-04,2016,01,Juliana,Medellín,Nacionales,Foliares,Creciplant,45.0,37034.5822313242,1666556.0
2016-01-05,2016,01,Camila,Cali,Importados,Bioestimulantes,Actiplant,15.0,41299.976968143,619500.0
2016-01-05,2016,01,Juliana,Cali,Nacionales,Edáficos,Menores,21.0,40321.5904764125,846753.0
2016-01-05,2016,01,Camila,Cartagena,Nacionales,Coadyuvantes,Trionex,50.0,40170.3572332112,2008518.0
2016-01-06,2016,01,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,41.0,42764.4703130203,1753343.0
2016-01-06,2016,01,Camila,Cali,Nacionales,Edáficos,Zinc,37.0,40482.0828977689,1497837.0
2016-01-06,2016,01,Camila,Cartagena,Nacionales,Foliares,Fertiverdor,13.0,40225.9123021423,522937.0
2016-01-06,2016,01,Ana Maria,Cali,Nacionales,Coadyuvantes,Fluyex,40.0,37241.3705434565,1489655.0
2016-01-07,2016,01,Ana Maria,Barranquilla,Nacionales,Foliares,Triplehoja,10.0,43273.7251115551,432737.0
2016-01-07,2016,01,Camila,Barranquilla,Importados,Bioestimulantes,Aminogib,13.0,42630.2122297702,554193.0
2016-01-07,2016,01,Camila,Bogotá,Importados,Fertirrigación,Frutales,10.0,39708.9415218115,397089.0
2016-01-08,2016,01,Juliana,Bogotá,Importados,Fertirrigación,Frutales,27.0,41991.3289370629,1133766.0
2016-01-08,2016,01,Camila,Cali,Nacionales,Coadyuvantes,Aquafull,46.0,40168.814036852,1847765.0
2016-01-08,2016,01,Ana Maria,Bogotá,Importados,Fertirrigación,Calcio,18.0,38428.0885436785,691706.0
2016-01-08,2016,01,Juliana,Barranquilla,Nacionales,Foliares,Rendimiento,47.0,37383.3446085026,1757017.0
2016-01-09,2016,01,Camila,Barranquilla,Nacionales,Foliares,Desarrollo,30.0,26057.0,781710.0
2016-01-09,2016,01,Juliana,Bogotá,Importados,Fertirrigación,Humus 15,40.0,31841.0,1273640.0
2016-01-09,2016,01,Juliana,Medellín,Nacionales,Foliares,Molib-K,17.0,43651.8082195582,742081.0
2016-01-09,2016,01,Camila,Bogotá,Nacionales,Coadyuvantes,Trionex,37.0,43457.3654782995,1607923.0
2016-01-09,2016,01,Camila,Cartagena,Nacionales,Edáficos,Menores,46.0,41827.7501229881,1924077.0
2016-01-09,2016,01,Ana Maria,Bogotá,Importados,Fertirrigación,Calcio,40.0,40394.1207052947,1615765.0
2016-01-09,2016,01,Ana Maria,Cali,Nacionales,Foliares,Fertiverdor,38.0,38857.0971315351,1476570.0
2016-01-09,2016,01,Camila,Cartagena,Nacionales,Foliares,Rendimiento,35.0,38462.0388635808,1346171.0
2016-01-10,2016,01,Ana Maria,Barranquilla,Importados,Bioestimulantes,Actiplant,21.0,39761.4101980242,834990.0
2016-01-11,2016,01,Ana Maria,Medellín,Nacionales,Coadyuvantes,Siliconex,27.0,43875.5716916417,1184640.0
2016-01-11,2016,01,Juliana,Bogotá,Importados,Especiales,Fruit Cover,38.0,42591.6323207903,1618482.0
2016-01-11,2016,01,Juliana,Cali,Importados,Fertirrigación,Manganeso,45.0,40114.8021642802,1805166.0
2016-01-11,2016,01,Camila,Bogotá,Nacionales,Edáficos,Campofos,20.0,38465.1252562992,769303.0
2016-01-11,2016,01,Juliana,Barranquilla,Nacionales,Coadyuvantes,Siliconex,15.0,37887.9698179598,568320.0
2016-01-11,2016,01,Juliana,Barranquilla,Nacionales,Edáficos,Zinc,17.0,37767.6005019425,642049.0
2016-01-12,2016,01,Ana Maria,Cartagena,Importados,Especiales,Solugybb,27.0,42672.0,1152144.0
2016-01-12,2016,01,Camila,Cali,Importados,Bioestimulantes,Aminogib,47.0,42628.669033411,2003547.0
2016-01-12,2016,01,Juliana,Cali,Importados,Especiales,Fruit Cover,32.0,38699.6911028971,1238390.0
2016-01-14,2016,01,Juliana,Barranquilla,Nacionales,Edáficos,Menores,25.0,64087.0,1602175.0
2016-01-14,2016,01,Camila,Barranquilla,Importados,Especiales,Fruit Cover,39.0,43073.1095848596,1679851.0
2016-01-14,2016,01,Ana Maria,Barranquilla,Nacionales,Foliares,Fertiverdor,10.0,38610.1857140637,386102.0
2016-01-15,2016,01,Juliana,Medellín,Nacionales,Coadyuvantes,Aquafull,14.0,40907.0,572698.0
2016-01-15,2016,01,Camila,Cartagena,Nacionales,Coadyuvantes,Fluyex,31.0,33559.0,1040329.0
2016-01-15,2016,01,Juliana,Medellín,Nacionales,Coadyuvantes,Trionex,33.0,40403.3798834499,1333312.0
2016-01-15,2016,01,Juliana,Cartagena,Importados,Especiales,Fruit Cover,19.0,39090.1197817738,742712.0
2016-01-15,2016,01,Juliana,Bogotá,Nacionales,Edáficos,Zinc,34.0,38164.201966256,1297583.0
2016-01-15,2016,01,Camila,Bogotá,Nacionales,Foliares,Creciplant,16.0,37401.8629648129,598430.0
2016-01-16,2016,01,Juliana,Medellín,Importados,Fertirrigación,Frutales,30.0,46085.0,1382550.0
2016-01-16,2016,01,Camila,Barranquilla,Nacionales,Edáficos,Campofos,14.0,42455.831041181,594382.0
2016-01-16,2016,01,Camila,Bogotá,Nacionales,Coadyuvantes,Fluyex,15.0,40769.1174205794,611537.0
2016-01-16,2016,01,Juliana,Medellín,Importados,Especiales,Fruit Cover,43.0,38952.7753058053,1674969.0
2016-01-16,2016,01,Camila,Bogotá,Importados,Especiales,Fruit Cover,12.0,38886.4178623598,466637.0
2016-01-16,2016,01,Ana Maria,Cartagena,Nacionales,Edáficos,Boro,35.0,37162.6675291375,1300693.0
2016-01-17,2016,01,Camila,Bogotá,Nacionales,Foliares,Creciplant,43.0,29285.0,1259255.0
2016-01-17,2016,01,Ana Maria,Cali,Nacionales,Coadyuvantes,Trionex,15.0,43059.2208176268,645888.0
2016-01-17,2016,01,Ana Maria,Cali,Nacionales,Foliares,Desarrollo,49.0,42559.2251972472,2085402.0
2016-01-17,2016,01,Camila,Cartagena,Nacionales,Edáficos,Campofos,20.0,42062.315969586,841246.0
2016-01-17,2016,01,Camila,Cali,Importados,Bioestimulantes,Cogollando,11.0,39560.7946713287,435169.0
2016-01-18,2016,01,Juliana,Cartagena,Nacionales,Coadyuvantes,Trionex,17.0,64755.0,1100835.0
2016-01-18,2016,01,Camila,Medellín,Nacionales,Edáficos,Campofos,16.0,40877.0,654032.0
2016-01-18,2016,01,Juliana,Bogotá,Importados,Fertirrigación,Frutales,32.0,39742.8918417138,1271773.0
2016-01-18,2016,01,Ana Maria,Cartagena,Nacionales,Foliares,Molib-K,17.0,39691.9663618604,674763.0
2016-01-18,2016,01,Camila,Bogotá,Nacionales,Foliares,Creciplant,49.0,38587.0377686758,1890765.0
2016-01-18,2016,01,Ana Maria,Cartagena,Nacionales,Edáficos,Campofos,10.0,37809.2668036408,378093.0
2016-01-18,2016,01,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,46.0,37779.9460728161,1737878.0
2016-01-18,2016,01,Camila,Barranquilla,Importados,Fertirrigación,Hierro,23.0,37736.7365747586,867945.0
2016-01-18,2016,01,Camila,Cali,Nacionales,Coadyuvantes,Fluyex,24.0,37690.4406839827,904571.0
2016-01-19,2016,01,Camila,Barranquilla,Importados,Bioestimulantes,Zin Stress,43.0,37940.4384941725,1631439.0
2016-01-19,2016,01,Juliana,Bogotá,Nacionales,Foliares,Rendimiento,50.0,36975.9407696748,1848797.0
2016-01-20,2016,01,Ana Maria,Cali,Nacionales,Coadyuvantes,Siliconex,38.0,41218.1875611056,1566291.0
2016-01-20,2016,01,Camila,Cali,Importados,Bioestimulantes,Zin Stress,21.0,39821.5948560328,836253.0
2016-01-20,2016,01,Camila,Barranquilla,Importados,Fertirrigación,Frutales,24.0,38977.4664475524,935459.0
2016-01-20,2016,01,Juliana,Bogotá,Nacionales,Edáficos,Boro,40.0,37167.2971182151,1486692.0
2016-01-21,2016,01,Ana Maria,Bogotá,Importados,Especiales,Solugybb,45.0,43247.4907734488,1946137.0
2016-01-21,2016,01,Ana Maria,Bogotá,Importados,Fertirrigación,Hierro,34.0,41349.3592516372,1405878.0
2016-01-21,2016,01,Ana Maria,Medellín,Importados,Fertirrigación,Humus 15,40.0,40526.8355921856,1621073.0
2016-01-21,2016,01,Camila,Barranquilla,Nacionales,Foliares,Molib-K,26.0,39816.9652669553,1035241.0
2016-01-21,2016,01,Juliana,Medellín,Nacionales,Foliares,Creciplant,27.0,38577.7785905206,1041600.0
2016-01-21,2016,01,Ana Maria,Cartagena,Nacionales,Foliares,Creciplant,21.0,37330.8759322899,783948.0
2016-01-22,2016,01,Camila,Medellín,Importados,Fertirrigación,Frutales,23.0,43281.4410933511,995473.0
2016-01-22,2016,01,Camila,Bogotá,Nacionales,Foliares,Rendimiento,27.0,42529.9044664225,1148307.0
2016-01-22,2016,01,Camila,Cartagena,Nacionales,Edáficos,Campofos,47.0,39529.9307441447,1857907.0
2016-01-23,2016,01,Juliana,Cali,Nacionales,Edáficos,Menores,18.0,42827.7413637474,770899.0
2016-01-23,2016,01,Juliana,Bogotá,Importados,Bioestimulantes,Zin Stress,32.0,42157.9941438561,1349056.0
2016-01-23,2016,01,Camila,Bogotá,Importados,Fertirrigación,Calcio,44.0,39267.5873630814,1727774.0
2016-01-24,2016,01,Camila,Cali,Importados,Fertirrigación,Frutales,47.0,41634.8505780886,1956838.0
2016-01-24,2016,01,Juliana,Bogotá,Nacionales,Edáficos,Zinc,16.0,38378.7062601842,614059.0
2016-01-24,2016,01,Ana Maria,Medellín,Importados,Bioestimulantes,Actiplant,11.0,37475.9363900544,412235.0
2016-01-25,2016,01,Juliana,Barranquilla,Nacionales,Foliares,Molib-K,37.0,26979.0,998223.0
2016-01-25,2016,01,Camila,Bogotá,Importados,Fertirrigación,Humus 15,29.0,43204.2812753913,1252924.0
2016-01-25,2016,01,Ana Maria,Cartagena,Importados,Fertirrigación,Calcio,16.0,43107.0599047619,689713.0
2016-01-25,2016,01,Ana Maria,Cartagena,Nacionales,Coadyuvantes,Siliconex,46.0,42935.7651088911,1975045.0
2016-01-25,2016,01,Camila,Cartagena,Importados,Fertirrigación,Humus 15,17.0,41613.2458290598,707425.0
2016-01-25,2016,01,Camila,Barranquilla,Importados,Especiales,Solugybb,21.0,38176.5475371295,801707.0
2016-01-25,2016,01,Juliana,Bogotá,Importados,Fertirrigación,Manganeso,10.0,36948.1632352092,369482.0
2016-01-26,2016,01,Ana Maria,Cartagena,Importados,Bioestimulantes,Actiplant,36.0,43849.3373535353,1578576.0
2016-01-26,2016,01,Camila,Cali,Nacionales,Foliares,Desarrollo,34.0,43826.1894081474,1490090.0
2016-01-26,2016,01,Ana Maria,Barranquilla,Importados,Fertirrigación,Frutales,34.0,43054.5912285492,1463856.0
2016-01-26,2016,01,Juliana,Barranquilla,Importados,Bioestimulantes,Aminogib,46.0,38463.58205994,1769325.0
2016-01-26,2016,01,Ana Maria,Bogotá,Nacionales,Foliares,Triplehoja,42.0,37642.6015968476,1580989.0
2016-01-27,2016,01,Camila,Barranquilla,Importados,Bioestimulantes,Actiplant,32.0,42796.8774365634,1369500.0
2016-01-27,2016,01,Juliana,Cartagena,Importados,Fertirrigación,Calcio,16.0,41804.6021776002,668874.0
2016-01-27,2016,01,Camila,Barranquilla,Nacionales,Foliares,Rendimiento,29.0,40867.881987568,1185169.0
2016-01-27,2016,01,Ana Maria,Medellín,Importados,Bioestimulantes,Cogollando,49.0,39523.757958708,1936664.0
2016-01-27,2016,01,Ana Maria,Medellín,Importados,Fertirrigación,Manganeso,20.0,39256.784988567,785136.0
2016-01-27,2016,01,Camila,Cartagena,Importados,Fertirrigación,Humus 15,22.0,38526.8531106671,847591.0
2016-01-28,2016,01,Ana Maria,Cali,Nacionales,Foliares,Fertiverdor,24.0,63922.0,1534128.0
2016-01-28,2016,01,Ana Maria,Cartagena,Importados,Especiales,Fruit Cover,43.0,40674.9824426684,1749024.0
2016-01-28,2016,01,Juliana,Cali,Nacionales,Edáficos,Menores,12.0,38128.7084499944,457545.0
