FECHA,ASESOR,CIUDAD,CLASIFICACION,CATEGORIA,PRODUCTO,VALOR_U,CANTIDAD
2016-01-01,Ana Maria,Bogotá,Nacionales,Foliares,Fertiverdor,46001.5757319717,49.0
2016-01-01,Camila,Medellín,Nacionales,Coadyuvantes,Aquafull,46493.0837723757,44.0
2016-01-01,Juliana,Bogotá,Nacionales,Foliares,Desarrollo,46984.5918127798,23.0
2016-01-02,Camila,Cali,Importados,Fertirrigación,Calcio,39082.4037999778,34.0
2016-01-03,Camila,Barranquilla,Nacionales,Coadyuvantes,Trionex,64755.0,43.0
2016-01-03,Juliana,Cali,Nacionales,Edáficos,Zinc,40065.4198807859,19.0
2016-01-04,Camila,Medellín,Nacionales,Foliares,Fertiverdor,40184.246000444,29.0
2016-01-04,Ana Maria,Cartagena,Nacionales,Edáficos,Menores,39511.4123878344,20.0
2016-01-04,Juliana,Medellín,Nacionales,Foliares,Creciplant,37034.5822313242,45.0
2016-01-05,Camila,Cali,Importados,Bioestimulantes,Actiplant,41299.976968143,15.0
2016-01-05,Juliana,Cali,Nacionales,Edáficos,Menores,40321.5904764125,21.0
2016-01-05,Camila,Cartagena,Nacionales,Coadyuvantes,Trionex,40170.3572332112,50.0
2016-01-06,Ana Maria,Medellín,Importados,Fertirrigación,Hierro,42764.4703130203,41.0
2016-01-06,Camila,Cali,Nacionales,Edáficos,Zinc,40482.0828977689,37.0
2016-01-06,Camila,Cartagena,Nacionales,Foliares,Fertiverdor,40225.9123021423,13.0
2016-01-06,Ana Maria,Cali,Nacionales,Coadyuvantes,Fluyex,37241.3705434565,40.0
2016-01-07,Ana Maria,Barranquilla,Nacionales,Foliares,Triplehoja,43273.7251115551,10.0
2016-01-07,Camila,Barranquilla,Importados,Bioestimulantes,Aminogib,42630.2122297702,13.0
2016-01-07,Camila,Bogotá,Importados,Fertirrigación,Frutales,39708.9415218115,10.0
2016-01-08,Juliana,Bogotá,Importados,Fertirrigación,Frutales,41991.3289370629,27.0
2016-01-08,Camila,Cali,Nacionales,Coadyuvantes,Aquafull,40168.814036852,46.0
2016-01-08,Ana Maria,Bogotá,Importados,Fertirrigación,Calcio,38428.0885436785,18.0
2016-01-08,Juliana,Barranquilla,Nacionales,Foliares,Rendimiento,37383.3446085026,47.0
2016-01-09,Camila,Barranquilla,Nacionales,Foliares,Desarrollo,26057.0,30.0
2016-01-09,Juliana,Bogotá,Importados,Fertirrigación,Humus 15,31841.0,40.0
2016-01-09,Juliana,Medellín,Nacionales,Foliares,Molib-K,43651.8082195582,17.0
2016-01-09,Camila,Bogotá,Nacionales,Coadyuvantes,Trionex,43457.3654782995,37.0
2016-01-09,Camila,Cartagena,Nacionales,Edáficos,Menores,41827.7501229881,46.0
2016-01-09,Ana Maria,Bogotá,Importados,Fertirrigación,Calcio,40394.1207052947,40.0
2016-01-09,Ana Maria,Cali,Nacionales,Foliares,Fertiverdor,38857.0971315351,38.0
2016-01-09,Camila,Cartagena,Nacionales,Foliares,Rendimiento,38462.0388635808,35.0
